codigo;ncm;descricao;anexo;segmento;item;convenios
01.001.00;3815.12.10 3815.12.90;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;II;AUTOPEÇAS;1.0;
01.002.00;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;II;AUTOPEÇAS;2.0;
01.003.00;3918.10.00;Protetores de caçamba;II;AUTOPEÇAS;3.0;
01.004.00;3923.30.00;Reservatórios de óleo;II;AUTOPEÇAS;4.0;
01.005.00;3926.30.00;Frisos, decalques, molduras e acabamentos;II;AUTOPEÇAS;5.0;
01.006.00;4010.3 5910.00.00;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;II;AUTOPEÇAS;6.0;
01.007.00;4016.93.00 4823.90.9;Juntas, gaxetas e outros elementos com função semelhante de vedação;II;AUTOPEÇAS;7.0;
01.008.00;4016.10.10;Partes de veículos automóveis, tratores e máquinas autopropulsadas;II;AUTOPEÇAS;8.0;
01.009.00;4016.99.90 5705.00.00;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;II;AUTOPEÇAS;9.0;
01.010.00;5903.90.00;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;II;AUTOPEÇAS;10.0;
01.011.00;5909.00.00;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;II;AUTOPEÇAS;11.0;
01.012.00;6306.1;Encerados e toldos;II;AUTOPEÇAS;12.0;
01.013.00;6506.10.00;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;II;AUTOPEÇAS;13.0;
01.014.00;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;II;AUTOPEÇAS;14.0;
01.015.00;7007.11.00 7007.21.00;Vidros de dimensões e formatos que permitam aplicação automotiva;II;AUTOPEÇAS;15.0;
01.016.00;7009.10.00;Espelhos retrovisores;II;AUTOPEÇAS;16.0;
01.017.00;7014.00.00;Lentes de faróis, lanternas e outros utensílios;II;AUTOPEÇAS;17.0;
01.018.00;7311.00.00;Cilindro de aço para GNV (gás natural veicular);II;AUTOPEÇAS;18.0;
01.019.00;7311.00.00;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;II;AUTOPEÇAS;19.0;
01.020.00;7320;Molas e folhas de molas, de ferro ou aço;II;AUTOPEÇAS;20.0;
01.021.00;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;II;AUTOPEÇAS;21.0;
01.022.00;7806.00;Peso de chumbo para balanceamento de roda;II;AUTOPEÇAS;22.0;
01.023.00;8007.00.90;Peso para balanceamento de roda e outros utensílios de estanho;II;AUTOPEÇAS;23.0;
01.024.00;8301.20 8301.60;Fechaduras e partes de fechaduras;II;AUTOPEÇAS;24.0;
01.025.00;8301.70;Chaves apresentadas isoladamente;II;AUTOPEÇAS;25.0;
01.026.00;8302.10.00 8302.30.00;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;II;AUTOPEÇAS;26.0;
01.027.00;8310.00;Triângulo de segurança;II;AUTOPEÇAS;27.0;
01.028.00;8407.3;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;II;AUTOPEÇAS;28.0;
01.029.00;8408.20;Motores dos tipos utilizados para propulsão de veículos automotores;II;AUTOPEÇAS;29.0;
01.030.00;8409.9;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;II;AUTOPEÇAS;30.0;
01.031.00;8412.2;Motores hidráulicos;II;AUTOPEÇAS;31.0;
01.032.00;8413.30;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;II;AUTOPEÇAS;32.0;
01.033.00;8414.10.00;Bombas de vácuo;II;AUTOPEÇAS;33.0;
01.034.00;8414.80.1 8414.80.2;Compressores e turbocompressores de ar;II;AUTOPEÇAS;34.0;
01.035.00;8413.91.90 8414.90.10 8414.90.3 8414.90.39;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;II;AUTOPEÇAS;35.0;
01.036.00;8415.20;Máquinas e aparelhos de ar condicionado;II;AUTOPEÇAS;36.0;
01.037.00;8421.23.00;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;II;AUTOPEÇAS;37.0;
01.038.00;8421.29.90;Filtros a vácuo;II;AUTOPEÇAS;38.0;
01.039.00;8421.9;Partes dos aparelhos para filtrar ou depurar líquidos ou gases;II;AUTOPEÇAS;39.0;
01.040.00;8424.10.00;Extintores, mesmo carregados;II;AUTOPEÇAS;40.0;
01.041.00;8421.31.00;Filtros de entrada de ar para motores de ignição por centelha ou por compressão;II;AUTOPEÇAS;41.0;
01.042.00;8421.39.20;Depuradores por conversão catalítica de gases de escape;II;AUTOPEÇAS;42.0;
01.043.00;8425.42.00;Macacos;II;AUTOPEÇAS;43.0;
01.044.00;8431.10.10;Partes para macacos do CEST 01.043.00;II;AUTOPEÇAS;44.0;
01.045.00;8431.49.2;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;II;AUTOPEÇAS;45.0;
01.045.01;8433.90.90;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;II;AUTOPEÇAS;45.1;
01.046.00;8481.10.00;Válvulas redutoras de pressão;II;AUTOPEÇAS;46.0;
01.047.00;8481.2;Válvulas para transmissão óleo-hidráulicas ou pneumáticas;II;AUTOPEÇAS;47.0;
01.048.00;8481.80.92;Válvulas solenoides;II;AUTOPEÇAS;48.0;
01.049.00;8482;Rolamentos;II;AUTOPEÇAS;49.0;
01.050.00;8483;Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação;II;AUTOPEÇAS;50.0;
01.051.00;8484;Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos);II;AUTOPEÇAS;51.0;
01.052.00;8505.20;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos;II;AUTOPEÇAS;52.0;
01.053.00;8507.10;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01;II;AUTOPEÇAS;53.0;
01.053.01;8507.10.10;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V;II;AUTOPEÇAS;53.1;
01.054.00;8511;Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores;II;AUTOPEÇAS;54.0;
01.055.00;8512.20 8512.40 8512.90.00;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;II;AUTOPEÇAS;55.0;
01.056.00;8517.12.13;Telefones móveis do tipo dos utilizados em veículos automóveis.;II;AUTOPEÇAS;56.0;
