ibge;uf_sigla;uf_codigo;nome_caixa_alta;nome_cursivo;nome_sem_acento;ddd;siafi;;
1200013;AC;12;ACRELANDIA;Acrelândia;Acrelandia;68;643;;
1200054;AC;12;ASSIS BRASIL;Assis Brasil;Assis Brasil;68;157;;
1200104;AC;12;BRASILEIA;Brasiléia;Brasileia;68;105;;
1200138;AC;12;BUJARI;Bujari;Bujari;68;645;;
1200179;AC;12;CAPIXABA;Capixaba;Capixaba;68;647;;
1200203;AC;12;CRUZEIRO DO SUL;Cruzeiro do Sul;Cruzeiro do Sul;68;107;;
1200252;AC;12;EPITACIOLANDIA;Epitaciolândia;Epitaciolandia;68;651;;
1200302;AC;12;FEIJO;Feijó;Feijo;68;113;;
1200328;AC;12;JORDAO;Jordão;Jordao;68;653;;
1200336;AC;12;MANCIO LIMA;Mâncio Lima;Mancio Lima;68;109;;
1200344;AC;12;MANOEL URBANO;Manoel Urbano;Manoel Urbano;68;155;;
1200351;AC;12;MARECHAL THAUMATURGO;Marechal Thaumaturgo;Marechal Thaumaturgo;68;655;;
1200385;AC;12;PLACIDO DE CASTRO;Plácido de Castro;Placido de Castro;68;151;;
1200807;AC;12;PORTO ACRE;Porto Acre;Porto Acre;68;649;;
1200393;AC;12;PORTO WALTER;Porto Walter;Porto Walter;68;657;;
1200401;AC;12;RIO BRANCO;Rio Branco;Rio Branco;68;139;;
1200427;AC;12;RODRIGUES ALVES;Rodrigues Alves;Rodrigues Alves;68;659;;
1200435;AC;12;SANTA ROSA DO PURUS;Santa Rosa do Purus;Santa Rosa do Purus;68;661;;
1200500;AC;12;SENA MADUREIRA;Sena Madureira;Sena Madureira;68;145;;
1200450;AC;12;SENADOR GUIOMARD;Senador Guiomard;Senador Guiomard;68;153;;
1200609;AC;12;TARAUACA;Tarauacá;Tarauaca;68;147;;
1200708;AC;12;XAPURI;Xapuri;Xapuri;68;149;;
2700102;AL;27;AGUA BRANCA;Água Branca;Agua Branca;82;2701;;
2700201;AL;27;ANADIA;Anadia;Anadia;82;2703;;
2700300;AL;27;ARAPIRACA;Arapiraca;Arapiraca;82;2705;;
2700409;AL;27;ATALAIA;Atalaia;Atalaia;82;2707;;
2700508;AL;27;BARRA DE SANTO ANTONIO;Barra de Santo Antônio;Barra de Santo Antonio;82;2709;;
2700607;AL;27;BARRA DE SAO MIGUEL;Barra de São Miguel;Barra de Sao Miguel;82;2711;;
2700706;AL;27;BATALHA;Batalha;Batalha;82;2713;;
2700805;AL;27;BELEM;Belém;Belem;82;2715;;
2700904;AL;27;BELO MONTE;Belo Monte;Belo Monte;82;2717;;
2701001;AL;27;BOCA DA MATA;Boca da Mata;Boca da Mata;82;2719;;
2701100;AL;27;BRANQUINHA;Branquinha;Branquinha;82;2721;;
2701209;AL;27;CACIMBINHAS;Cacimbinhas;Cacimbinhas;82;2723;;
2701308;AL;27;CAJUEIRO;Cajueiro;Cajueiro;82;2725;;
2701357;AL;27;CAMPESTRE;Campestre;Campestre;82;560;;
2701407;AL;27;CAMPO ALEGRE;Campo Alegre;Campo Alegre;82;2727;;
2701506;AL;27;CAMPO GRANDE;Campo Grande;Campo Grande;82;2729;;
2701605;AL;27;CANAPI;Canapi;Canapi;82;2731;;
2701704;AL;27;CAPELA;Capela;Capela;82;2733;;
2701803;AL;27;CARNEIROS;Carneiros;Carneiros;82;2735;;
2701902;AL;27;CHA PRETA;Chã Preta;Cha Preta;82;2737;;
2702009;AL;27;COITE DO NOIA;Coité do Nóia;Coite do Noia;82;2739;;
2702108;AL;27;COLONIA LEOPOLDINA;Colônia Leopoldina;Colonia Leopoldina;82;2741;;
2702207;AL;27;COQUEIRO SECO;Coqueiro Seco;Coqueiro Seco;82;2743;;
2702306;AL;27;CORURIPE;Coruripe;Coruripe;82;2745;;
2702355;AL;27;CRAIBAS;Craíbas;Craibas;82;2889;;
2702405;AL;27;DELMIRO GOUVEIA;Delmiro Gouveia;Delmiro Gouveia;82;2747;;
2702504;AL;27;DOIS RIACHOS;Dois Riachos;Dois Riachos;82;2749;;
2702553;AL;27;ESTRELA DE ALAGOAS;Estrela de Alagoas;Estrela de Alagoas;82;2643;;
2702603;AL;27;FEIRA GRANDE;Feira Grande;Feira Grande;82;2751;;
2702702;AL;27;FELIZ DESERTO;Feliz Deserto;Feliz Deserto;82;2753;;
2702801;AL;27;FLEXEIRAS;Flexeiras;Flexeiras;82;2755;;
2702900;AL;27;GIRAU DO PONCIANO;Girau do Ponciano;Girau do Ponciano;82;2757;;
2703007;AL;27;IBATEGUARA;Ibateguara;Ibateguara;82;2759;;
2703106;AL;27;IGACI;Igaci;Igaci;82;2761;;
2703205;AL;27;IGREJA NOVA;Igreja Nova;Igreja Nova;82;2763;sem divisão;
2703304;AL;27;INHAPI;Inhapi;Inhapi;82;2765;;
2703403;AL;27;JACARE DOS HOMENS;Jacaré dos Homens;Jacare dos Homens;82;2767;;
2703502;AL;27;JACUIPE;Jacuípe;Jacuipe;82;2769;;
2703601;AL;27;JAPARATINGA;Japaratinga;Japaratinga;82;2771;sem divisão;
2703700;AL;27;JARAMATAIA;Jaramataia;Jaramataia;82;2773;;
2703759;AL;27;JEQUIA DA PRAIA;Jequiá da Praia;Jequia da Praia;82;562;;
2703809;AL;27;JOAQUIM GOMES;Joaquim Gomes;Joaquim Gomes;82;2775;;
2703908;AL;27;JUNDIA;Jundiá;Jundia;82;2777;sem divisão;
2704005;AL;27;JUNQUEIRO;Junqueiro;Junqueiro;82;2779;;
2704104;AL;27;LAGOA DA CANOA;Lagoa da Canoa;Lagoa da Canoa;82;2781;;
2704203;AL;27;LIMOEIRO DE ANADIA;Limoeiro de Anadia;Limoeiro de Anadia;82;2783;sem divisão;lance mínimo = total de empresas dividido por 100
2704302;AL;27;MACEIO;Maceió;Maceio;82;2785;;
2704401;AL;27;MAJOR ISIDORO;Major Isidoro;Major Isidoro;82;2787;Ler OBS na planilha dela;
2704906;AL;27;MAR VERMELHO;Mar Vermelho;Mar Vermelho;82;2797;;
2704500;AL;27;MARAGOGI;Maragogi;Maragogi;82;2789;;
2704609;AL;27;MARAVILHA;Maravilha;Maravilha;82;2791;sem divisão;
2704708;AL;27;MARECHAL DEODORO;Marechal Deodoro;Marechal Deodoro;82;2793;sem divisão;
2704807;AL;27;MARIBONDO;Maribondo;Maribondo;82;2795;;
2705002;AL;27;MATA GRANDE;Mata Grande;Mata Grande;82;2799;;
2705101;AL;27;MATRIZ DE CAMARAGIBE;Matriz de Camaragibe;Matriz de Camaragibe;82;2801;;
2705200;AL;27;MESSIAS;Messias;Messias;82;2803;;
2705309;AL;27;MINADOR DO NEGRAO;Minador do Negrão;Minador do Negrao;82;2805;sem divisão;lance mínimo = total de empresas dividido por 100
2705408;AL;27;MONTEIROPOLIS;Monteirópolis;Monteiropolis;82;2807;;
2705507;AL;27;MURICI;Murici;Murici;82;2809;;
2705606;AL;27;NOVO LINO;Novo Lino;Novo Lino;82;2811;;
2705705;AL;27;OLHO D'AGUA DAS FLORES;Olho d'Água das Flores;Olho d'Agua das Flores;82;2813;;
2705804;AL;27;OLHO D'AGUA DO CASADO;Olho d'Água do Casado;Olho d'Agua do Casado;82;2815;;
2705903;AL;27;OLHO D'AGUA GRANDE;Olho d'Água Grande;Olho d'Agua Grande;82;2817;;
2706000;AL;27;OLIVENCA;Olivença;Olivenca;82;2819;;
2706109;AL;27;OURO BRANCO;Ouro Branco;Ouro Branco;82;2821;;
2706208;AL;27;PALESTINA;Palestina;Palestina;82;2823;;
2706307;AL;27;PALMEIRA DOS INDIOS;Palmeira dos Índios;Palmeira dos Indios;82;2825;sem divisão;
2706406;AL;27;PAO DE ACUCAR;Pão de Açúcar;Pao de Acucar;82;2827;sem divisão;
2706422;AL;27;PARICONHA;Pariconha;Pariconha;82;2645;sem divisão;
2706448;AL;27;PARIPUEIRA;Paripueira;Paripueira;82;2641;;
2706505;AL;27;PASSO DE CAMARAGIBE;Passo de Camaragibe;Passo de Camaragibe;82;2829;;
2706604;AL;27;PAULO JACINTO;Paulo Jacinto;Paulo Jacinto;82;2831;;
2706703;AL;27;PENEDO;Penedo;Penedo;82;2833;sem divisão;
2706802;AL;27;PIACABUCU;Piaçabuçu;Piacabucu;82;2835;sem divisão;
2706901;AL;27;PILAR;Pilar;Pilar;82;2837;sem divisão;
2707008;AL;27;PINDOBA;Pindoba;Pindoba;82;2839;sem divisão;
2707107;AL;27;PIRANHAS;Piranhas;Piranhas;82;2841;;
2707206;AL;27;POCO DAS TRINCHEIRAS;Poço das Trincheiras;Poco das Trincheiras;82;2843;sem divisão;
2707305;AL;27;PORTO CALVO;Porto Calvo;Porto Calvo;82;2845;sem divisão;
2707404;AL;27;PORTO DE PEDRAS;Porto de Pedras;Porto de Pedras;82;2847;sem divisão;
2707503;AL;27;PORTO REAL DO COLEGIO;Porto Real do Colégio;Porto Real do Colegio;82;2849;sem divisão;
2707602;AL;27;QUEBRANGULO;Quebrangulo;Quebrangulo;82;2851;;
2707701;AL;27;RIO LARGO;Rio Largo;Rio Largo;82;2853;sem divisão;
2707800;AL;27;ROTEIRO;Roteiro;Roteiro;82;2855;sem divisão;
2707909;AL;27;SANTA LUZIA DO NORTE;Santa Luzia do Norte;Santa Luzia do Norte;82;2857;;
2708006;AL;27;SANTANA DO IPANEMA;Santana do Ipanema;Santana do Ipanema;82;2859;sem divisão;
2708105;AL;27;SANTANA DO MUNDAU;Santana do Mundaú;Santana do Mundau;82;2861;sem divisão;
2708204;AL;27;SAO BRAS;São Brás;Sao Bras;82;2863;;
2708303;AL;27;SAO JOSE DA LAJE;São José da Laje;Sao Jose da Laje;82;2865;;
2708402;AL;27;SAO JOSE DA TAPERA;São José da Tapera;Sao Jose da Tapera;82;2867;sem divisão;
2708501;AL;27;SAO LUIS DO QUITUNDE;São Luís do Quitunde;Sao Luis do Quitunde;82;2869;este o último município que não é capital que devemos dividir;
2708600;AL;27;SAO MIGUEL DOS CAMPOS;São Miguel dos Campos;Sao Miguel dos Campos;82;2871;sem divisão;
2708709;AL;27;SAO MIGUEL DOS MILAGRES;São Miguel dos Milagres;Sao Miguel dos Milagres;82;2873;;
2708808;AL;27;SAO SEBASTIAO;São Sebastião;Sao Sebastiao;82;2875;;
2708907;AL;27;SATUBA;Satuba;Satuba;82;2877;;
2708956;AL;27;SENADOR RUI PALMEIRA;Senador Rui Palmeira;Senador Rui Palmeira;82;2891;;
2709004;AL;27;TANQUE D'ARCA;Tanque d'Arca;Tanque d'Arca;82;2879;sem divisão;
2709103;AL;27;TAQUARANA;Taquarana;Taquarana;82;2881;;
2709152;AL;27;TEOTONIO VILELA;Teotônio Vilela;Teotonio Vilela;82;971;;
2709202;AL;27;TRAIPU;Traipu;Traipu;82;2883;;
2709301;AL;27;UNIAO DOS PALMARES;União dos Palmares;Uniao dos Palmares;82;2885;;
2709400;AL;27;VICOSA;Viçosa;Vicosa;82;2887;;
1300029;AM;13;ALVARAES;Alvarães;Alvaraes;97;289;;
1300060;AM;13;AMATURA;Amaturá;Amatura;97;291;;
1300086;AM;13;ANAMA;Anamã;Anama;97;293;;
1300102;AM;13;ANORI;Anori;Anori;97;203;;
1300144;AM;13;APUI;Apuí;Apui;97;969;;
1300201;AM;13;ATALAIA DO NORTE;Atalaia do Norte;Atalaia do Norte;97;205;;
1300300;AM;13;AUTAZES;Autazes;Autazes;92;207;;
1300409;AM;13;BARCELOS;Barcelos;Barcelos;97;209;;
1300508;AM;13;BARREIRINHA;Barreirinha;Barreirinha;92;211;;
1300607;AM;13;BENJAMIN CONSTANT;Benjamin Constant;Benjamin Constant;97;213;;
1300631;AM;13;BERURI;Beruri;Beruri;97;295;;
1300680;AM;13;BOA VISTA DO RAMOS;Boa Vista do Ramos;Boa Vista do Ramos;92;297;;
1300706;AM;13;BOCA DO ACRE;Boca do Acre;Boca do Acre;97;215;;
1300805;AM;13;BORBA;Borba;Borba;92;217;;
1300839;AM;13;CAAPIRANGA;Caapiranga;Caapiranga;92;299;;
1300904;AM;13;CANUTAMA;Canutama;Canutama;97;219;;
1301001;AM;13;CARAUARI;Carauari;Carauari;97;221;;
1301100;AM;13;CAREIRO;Careiro;Careiro;92;223;;
1301159;AM;13;CAREIRO DA VARZEA;Careiro da Várzea;Careiro da Varzea;92;965;;
1301209;AM;13;COARI;Coari;Coari;97;225;;
1301308;AM;13;CODAJAS;Codajás;Codajas;97;227;;
1301407;AM;13;EIRUNEPE;Eirunepé;Eirunepe;97;229;;
1301506;AM;13;ENVIRA;Envira;Envira;97;231;;
1301605;AM;13;FONTE BOA;Fonte Boa;Fonte Boa;97;233;;
1301654;AM;13;GUAJARA;Guajará;Guajara;97;967;;
1301704;AM;13;HUMAITA;Humaitá;Humaita;97;235;;
1301803;AM;13;IPIXUNA;Ipixuna;Ipixuna;97;239;;
1301852;AM;13;IRANDUBA;Iranduba;Iranduba;92;9835;;
1301902;AM;13;ITACOATIARA;Itacoatiara;Itacoatiara;92;241;;
1301951;AM;13;ITAMARATI;Itamarati;Itamarati;97;9837;;
1302009;AM;13;ITAPIRANGA;Itapiranga;Itapiranga;92;243;;
1302108;AM;13;JAPURA;Japurá;Japura;97;245;;
1302207;AM;13;JURUA;Juruá;Jurua;97;247;;
1302306;AM;13;JUTAI;Jutaí;Jutai;97;249;;
1302405;AM;13;LABREA;Lábrea;Labrea;97;251;;
1302504;AM;13;MANACAPURU;Manacapuru;Manacapuru;92;253;;
1302553;AM;13;MANAQUIRI;Manaquiri;Manaquiri;92;9839;;
1302603;AM;13;MANAUS;Manaus;Manaus;92;255;;
1302702;AM;13;MANICORE;Manicoré;Manicore;97;257;;
1302801;AM;13;MARAA;Maraã;Maraa;97;259;;
1302900;AM;13;MAUES;Maués;Maues;92;261;;
1303007;AM;13;NHAMUNDA;Nhamundá;Nhamunda;92;263;;
1303106;AM;13;NOVA OLINDA DO NORTE;Nova Olinda do Norte;Nova Olinda do Norte;92;265;;
1303205;AM;13;NOVO AIRAO;Novo Airão;Novo Airao;92;201;;
1303304;AM;13;NOVO ARIPUANA;Novo Aripuanã;Novo Aripuana;97;267;;
1303403;AM;13;PARINTINS;Parintins;Parintins;92;269;;
1303502;AM;13;PAUINI;Pauini;Pauini;97;271;;
1303536;AM;13;PRESIDENTE FIGUEIREDO;Presidente Figueiredo;Presidente Figueiredo;92;9841;;
1303569;AM;13;RIO PRETO DA EVA;Rio Preto da Eva;Rio Preto da Eva;92;9843;;
1303601;AM;13;SANTA ISABEL DO RIO NEGRO;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;97;237;;
1303700;AM;13;SANTO ANTONIO DO ICA;Santo Antônio do Içá;Santo Antonio do Ica;97;273;;
1303809;AM;13;SAO GABRIEL DA CACHOEIRA;São Gabriel da Cachoeira;Sao Gabriel da Cachoeira;97;283;;
1303908;AM;13;SAO PAULO DE OLIVENCA;São Paulo de Olivença;Sao Paulo de Olivenca;97;275;;
1303957;AM;13;SAO SEBASTIAO DO UATUMA;São Sebastião do Uatumã;Sao Sebastiao do Uatuma;92;9845;;
1304005;AM;13;SILVES;Silves;Silves;92;277;;
1304062;AM;13;TABATINGA;Tabatinga;Tabatinga;97;9847;;
1304104;AM;13;TAPAUA;Tapauá;Tapaua;97;279;;
1304203;AM;13;TEFE;Tefé;Tefe;97;281;;
1304237;AM;13;TONANTINS;Tonantins;Tonantins;97;9851;;
1304260;AM;13;UARINI;Uarini;Uarini;97;9849;;
1304302;AM;13;URUCARA;Urucará;Urucara;92;285;;
1304401;AM;13;URUCURITUBA;Urucurituba;Urucurituba;92;287;;
1600105;AP;16;AMAPA;Amapá;Amapa;96;601;;
1600204;AP;16;CALCOENE;Calçoene;Calcoene;96;603;;
1600212;AP;16;CUTIAS;Cutias;Cutias;96;667;;
1600238;AP;16;FERREIRA GOMES;Ferreira Gomes;Ferreira Gomes;96;611;;
1600253;AP;16;ITAUBAL;Itaubal;Itaubal;96;669;;
1600279;AP;16;LARANJAL DO JARI;Laranjal do Jari;Laranjal do Jari;96;613;;
1600303;AP;16;MACAPA;Macapá;Macapa;96;605;;
1600402;AP;16;MAZAGAO;Mazagão;Mazagao;96;607;;
1600501;AP;16;OIAPOQUE;Oiapoque;Oiapoque;96;609;;
1600154;AP;16;PEDRA BRANCA DO AMAPARI;Pedra Branca do Amapari;Pedra Branca do Amapari;96;663;;
1600535;AP;16;PORTO GRANDE;Porto Grande;Porto Grande;96;671;;
1600550;AP;16;PRACUUBA;Pracuúba;Pracuuba;96;673;;
1600600;AP;16;SANTANA;Santana;Santana;96;615;;
1600055;AP;16;SERRA DO NAVIO;Serra do Navio;Serra do Navio;96;665;;
1600709;AP;16;TARTARUGALZINHO;Tartarugalzinho;Tartarugalzinho;96;617;;
1600808;AP;16;VITORIA DO JARI;Vitória do Jari;Vitoria do Jari;96;70;;
2900108;BA;29;ABAIRA;Abaíra;Abaira;77;3301;;
2900207;BA;29;ABARE;Abaré;Abare;75;3303;;
2900306;BA;29;ACAJUTIBA;Acajutiba;Acajutiba;75;3305;;
2900355;BA;29;ADUSTINA;Adustina;Adustina;75;3253;;
2900405;BA;29;AGUA FRIA;Água Fria;Agua Fria;75;3307;;
2900603;BA;29;AIQUARA;Aiquara;Aiquara;73;3311;;
2900702;BA;29;ALAGOINHAS;Alagoinhas;Alagoinhas;75;3313;;
2900801;BA;29;ALCOBACA;Alcobaça;Alcobaca;73;3315;;
2900900;BA;29;ALMADINA;Almadina;Almadina;73;3317;;
2901007;BA;29;AMARGOSA;Amargosa;Amargosa;75;3319;;
2901106;BA;29;AMELIA RODRIGUES;Amélia Rodrigues;Amelia Rodrigues;75;3321;;
2901155;BA;29;AMERICA DOURADA;América Dourada;America Dourada;74;3071;;
